,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
1193,Cluster Senior Sales Manager,DAMAC Properties ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Sales/Retail', 'Sales', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Support', 'Customer Care', 'Information Technology (IT)']"
1194,Commis II,Rotana Hotel Management Corporation ,"Cairo, Egypt ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Operations/Management', 'Sales/Retail', 'culinary', 'chefs', 'chef', 'qualifications', 'commis']"
1195,Generative AI Engineer,Easygenerator ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Generators', 'Mechanical Engineering', 'Sales', 'Engineering', 'Electrical Engineering', 'Sales Skills', 'AI']"
1196,"ETIC, Financial Reporting - Senior Associate",PwC Middle East ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Operations/Management', 'Analyst/Research', 'Finance', 'Accounting', 'Financial Analysis', 'Financial Management', 'Financial Reporting', 'SAP', 'English']"
1197,Associate Principal Electrical Engineer,SNC,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'engineering', 'electrical engineering', 'mechanical engineering', 'microsoft office', 'design', 'electrical', 'communication skills']"
1198,Sales & Marketing,Qatar Living ,"Doha, Qatar ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Marketing']"
1199,Indirect Materials Purchasing Team Leader - Egypt,Giza Arabia Systems ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Sales/Retail', 'Purchasing/Procurement', 'Real Estate', 'Sales', 'Sales Skills', 'Sales Target', 'Indirect Sales', 'Procurement', 'Purchasing']"
1200,"Commis 2, Gastronomy",Kerzner International Management ,"Dubai, United Arab Emirates ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'adwords', 'digital media', 'e-marketing', 'market research']"
1201,CRM Business Analyst,Evapharma So ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Analyst/Research', 'Engineering - Telecom/Technology', 'Business Analysis', 'Information Technology (IT)', 'Computer Science', 'Analysis', 'Software Development', 'Software', 'Computer Engineering']"
1202,Manager - Performance Marketing,Spark Foundry ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Operations/Management', 'Sales/Retail', 'Microsoft Office', 'Sales', 'Administration', 'Management', 'Sales Skills', 'Office Management', 'Customer Service']"
1203,Faculty Support Officer,TKH Student Group ,"Cairo, Egypt ",Full Time,Not specified,Administration,"['Customer Service/Support', 'IT/Software Development', 'Microsoft Office', 'Administration', 'Computer Science', 'Information Technology (IT)', 'Customer Care', 'Customer Service', 'Customer Support']"
1204,Sales Operation Specialist - French Spea...,Ingram Micro Inc. ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Real Estate']"
1205,Sales Specialist,EgyBell Outsourcing and Payroll Solutions ,"Cairo, Egypt ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Real Estate']"
1206,Product Marketing Manager,Airbase Inc. ,"Cairo, Egypt ",Full Time,Not specified,Marketing/PR/Advertising,"['Sales/Retail', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Market Research', 'E-marketing', 'Digital Marketing', 'Media', 'Sales']"
1207,Customer Care Executive - UAEN,NMC Hospital ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Marketing/PR/Advertising', 'Sales/Retail', 'Customer Service', 'Customer Care', 'Customer Support', 'Call Center', 'Microsoft Office', 'Communication Skills', 'Sales']"
1208,"J14744 - KG Teacher - Abu Dhabi, UAE - Immediate",Edvectus ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Education/Teaching', 'Training/Instructor', 'diploma', 'curriculum', 'uae', 'valuedteachers', 'teaching']"
1209,Microbiology junior Specialist (Job has expired),Pharco Corporation ,"Alexandria, Egypt ",Full Time,Not specified,Human Resources,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Microsoft Office', 'Marketing', 'Human Resources (HR)', 'Social Media', 'Computer Skills', 'Information Technology (IT)', 'Sales']"
1210,Executive Director- Structuring and Product Development,First Gulf Bank PJSC ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'sales', 'sales skills', 'information technology (it)', 'marketing', 'management', 'design', 'finance']"
1211,Mender-Seamstress,Alsco Inc. ,"Alexandria, Egypt ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'seamstressjob', 'seamstress', 'sewing', 'textiles', 'stitching']"
1212,Digital Business Analyst,Publicis Group ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Analyst/Research', 'Engineering - Telecom/Technology', 'Business Analysis', 'Information Technology (IT)', 'Computer Science', 'Analysis', 'Software Development', 'Software', 'Engineering']"
1213,Linux System Administrator,Hitachi Energy Ltd ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'System Administration', 'Linux', 'Engineering', 'Computer Engineering', 'Installation']"
1214,Production - Feed-Folder,Alsco Inc. ,"Alexandria, Egypt ",Full Time,Not specified,Manufacturing/Production,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'Production', 'Engineering', 'Manufacturing', 'Mechanical Engineering', 'Microsoft Office', 'Quality Control', 'Quality']"
1215,Learning and Development Executive - Jumeirah Restaurants,DUBAI HOLDING ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Sales', 'Sales Skills', 'Sales Target', 'Marketing', 'Customer Service', 'Market Research']"
1216,National_Government Relations Admin,Cairo Festival City ,"Cairo, Egypt ",Full Time,Not specified,Administration,"['Operations/Management', 'Project/Program Management', 'administration', 'admin', 'microsoft office', 'office management', 'management', 'operations', 'quality']"
1217,Outlet Auditor,Rotana Hotel Management Corporation ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Customer Service/Support', 'Hospitality/Hotels/Food Services', 'accounting', 'commerce', 'finance', 'microsoft office', 'banquet', 'customer service', 'events']"
1218,Bar Waiter,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['bar', 'bartender', 'captain', 'hospitality']"
1219,Kitchen Steward,Rotana Hotel Management Corporation ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'hospitality', 'customer service', 'catering', 'customer care', 'stewarding']"
1220,Parking Barriers and ANPR Installation - Al Rabia Tower,Iskaan Tech ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['Operations/Management', 'Engineering - Mechanical/Electrical', 'bms', 'cctv', 'electrical engineering', 'fire alarm system', 'installation']"
1221,Secondary Special Needs Teacher – Alternative Pathways - Immediate Start 2023,PriorySouthsea ,"Dubai, United Arab Emirates ",Full Time,Not specified,Medical/Healthcare,"['behavioral disorders', 'emotional disorders', 'healthcare', 'human services']"
1222,Rectification of 270KVAR Capacitor Bank No.04,Iskaan Tech ,"Dubai, United Arab Emirates ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'kvar', 'subcontractor', 'agreement', 'subcontracting', 'contractor']"
1223,"Food and Beverage Attendant, Bread Street Kitchen",Kerzner International Management ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'hospitality', 'catering', 'customer care', 'customer service', 'food', 'food and beverage', 'restaurant']"
1224,Raw Material Specialist (Job has expired),Pharco Corporation ,"Alexandria, Egypt ",Full Time,Not specified,Logistics/Supply Chain,"['Pharmaceutical', 'Purchasing/Procurement', 'Supply Chain', 'Logistics', 'Purchasing', 'Science', 'Pharmacy', 'Procurement', 'Raw Materials']"
1225,Manager - Performance Marketing,Publicis Group ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Operations/Management', 'Sales/Retail', 'Microsoft Office', 'Sales', 'Administration', 'Management', 'Sales Skills', 'Office Management', 'Customer Service']"
1226,Warehouse - Team Leader | Al Futtaim Automotive | Global Aftersales,Al Futtaim Group ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Logistics/Supply Chain', 'Operations/Management', 'Logistics', 'Supply Chain', 'Warehousing', 'Warehouse', 'Microsoft Office', 'Inventory', 'Management']"
1227,SPA Beautician,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Installation/Maintenance/Repair,"['Marketing/PR/Advertising', 'Engineering - Mechanical/Electrical', 'beatician', 'beauticians', 'beauty', 'business development', 'makeup', 'spa']"
1228,Sales Executive - Aftermarket,PlaceUp ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Microsoft Office']"
1229,"* Project and Research Associate, NPSA-7",United Nations Development Program ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Marketing/PR/Advertising', 'Engineering - Telecom/Technology', 'marketing', 'information technology (it)', 'sales', 'microsoft office', 'business', 'secretary', 'quality']"
1230,Associate Principal Public Health Engineer,SNC,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'engineering', 'computer science', 'information technology (it)', 'electrical engineering', 'design', 'communication skills', 'english']"
1231,Oracle Lead,DXC ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'oracle', 'computer engineering', 'sql', 'html', 'project management']"
1232,Senior Sales Manager - Hotel Sales & Marketing,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Marketing']"
1233,CM Engineer,EgyBell Outsourcing and Payroll Solutions ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Other', 'CMS', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'javaScript', 'CSS', 'Software Engineering']"
1234,"EDUCATION COORDINATOR, PHARMACY",King Faisal Specialist Hospital & Research Centre ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Operations/Management', 'Education/Teaching', 'Education', 'Administration', 'Computer Skills', 'English', 'Learning', 'Sales', 'Special Needs']"
1235,"ETIC, Financial Reporting - Senior Manager",PwC Middle East ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Operations/Management', 'Analyst/Research', 'Finance', 'Accounting', 'Financial Analysis', 'Financial Management', 'Financial Reporting', 'SAP', 'English']"
1236,SSL.3852.ADMINISTRATOR - CFS United Arab Emirates Posted on 08/30/2023 CFS Administrator,DP World ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'ssl']"
1237,Medical Representative - CVRM,AstraZeneca plc ,"Dubai, United Arab Emirates ",Full Time,Not specified,Medical/Healthcare,"['Sales/Retail', 'Pharmaceutical', 'Sales', 'Sales Skills', 'Medical', 'Pharmacy', 'Sales Target', 'Science', 'Medical Sales']"
1238,Pharmacy Team Leader,Giant Eagle ,"Medina, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Information Technology (IT)', 'Computer Science', 'Customer Service', 'Real Estate']"
1239,QA Assistant,Allamna Integrated Solutions ,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Quality', 'QA', 'quality', 'fresh', 'Freshgrade', 'Quality Assurance']"
1240,Creative Graphic Designer,Arabia for Information Technology ,"Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Creative/Design/Art', 'Graphic Design', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Dreamweaver', 'Visual Arts', 'Creative Design', 'Social Media Design', 'Graphics Video', 'After Effects']"
1241,Cost Controller Engineer,Elhazek Construction ,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Civil Engineering', 'Cost Control', 'Project Cost Control']"
1242,Senior PHP Web Developer,Arabia for Information Technology ,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'PHP', 'Web Development', 'Computer Engineering', 'Computer Science', 'Software Development', 'Web Application Design', 'Laravel', 'PHP Development']"
1243,AX Functional Consultant,Confidential ,"Obour City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Ax', 'Functional consultant', 'Information Technology (IT)']"
1244,Telesales Supervisor,Options ,"Mohandessin, Giza, Egypt ",Full Time,Manager,4 - 7 Yrs of Exp,"['Customer Service/Support', 'Operations/Management', 'Sales/Retail', 'English', 'Telesales', 'Sales', 'Call Center']"
1245,English content writer,Papyruslocalization ,"Hadayek Alahram, Giza, Egypt ",Freelance / Project,Experienced,3 - 10 Yrs of Exp,"['Marketing/PR/Advertising', 'English', 'Content', 'Content Writer', 'Marketing', 'Social Media', 'Writing', 'Editing']"
1246,HR & Admin Manager,FinBi Finance & Banking Consultants International ,"Dokki, Giza, Egypt ",Full Time,Senior Management,6 - 10 Yrs of Exp,"['Administration', 'Human Resources', 'HR', 'hr strategies', 'Administration', 'Human Resources', 'Management', 'Operations', 'Business Administration']"
1247,Junior Legal Counsel,Confidential ,"Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Legal', 'Legal', 'lawyer', 'English']"
1248,Automation Engineer (Electrical),Confidential ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Automation', 'electrical', 'PLC', 'Maintenance Engineering', 'DCS', 'Engineering', 'SCADA']"
1249,International Relationship Officer,Alwadi Holding ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Customer Relations', 'Sales', 'Customer Service', 'Microsoft Office', 'CRM', 'Communication', 'English', 'Business']"
1250,Cost Accountant,Ascom ,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['Accounting/Finance', 'Cost Accounting', 'ERP System', 'Industrial']"
1251,Fleet Supervisor,Al Watania Poultry ,"Smart Village, Giza, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"['males_only', 'Administration', 'Operations/Management', 'Fleet', 'Logistics', 'Maintenance', 'Operations', 'Vehicles', 'Drivers']"
1252,Collection Specialist,New Plan  ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Customer Service/Support', 'Legal', 'Operations/Management', 'Customer Support', 'collection', 'real estate', 'females', 'Communication', 'developer']"
1253,Marketing Communication Senior Executive,New Generation Developments ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Marketing', 'Advertising', 'Research', 'Communication', 'Communication skills', 'analytical', 'Creative']"
1254,Junior Implementation Specialist,Health Insights Group ,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'Medical/Healthcare', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'SQL', 'Linux', 'Unix/Linux']"
1255,Executive Assistant,Confidential ,"Obour City, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Operations/Management', 'Administration', 'Executive', 'Assistant', 'Executive Assistant', 'Microsoft Office', 'Management', 'personal assistant']"
1256,Senior Electrical Facility Engineer - Almaza Bay ( Marsa Matrouh ),Travco Properties ,"Marsa Matruh, Matruh, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Facility Engineer', 'Engineering', 'Electrical Engineering', 'Structural Engineering', 'Maintenance', 'AC', 'Civil Engineering']"
1257,Contracting (Data Loading),Almosafer ,"Mohandessin, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'Tourism/Travel', 'Contracting', 'Hotels', 'Loading', 'hotel', 'English', 'Contracts', 'Tourism']"
1258,Administrative Assistant,Confidential ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Administration', 'Administration', 'Emails', 'Microsoft Office', 'Secretary', 'Scheduling']"
1259,FF&E Designer,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Creative/Design/Art', 'Arts', 'Applied Arts', 'AutoCAD', 'Design', 'Furniture', 'Interior', 'Interior Design', 'Fine Arts']"
1260,Senior Structure Design Engineer,Rowad Modern Engineering ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Civil Engineering', 'Civil', 'Computer Science', 'Engineering', 'ETABS', 'Microsoft', 'Safe', 'SAP']"
1261,Graphic Designer,Solutions ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Creative/Design/Art', 'IT/Software Development', 'Adobe illustrator', 'adobe', 'Design', 'Fine Arts', 'Graphic Design', 'illustrator', 'Arts']"
1262,Technical Support Specialist,Cepack ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Customer Service/Support', 'IT/Software Development', 'Information technology', 'Computer Science', 'Customer Service', 'Technical Support']"
1263,Odoo Developer,Engosoft ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['males_preferred', 'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CSS', 'Git', 'HTML', 'JavaScript', 'Python', 'Agile', 'Computer Science']"
1264,MRI Field Service Engineer,Allamna Integrated Solutions ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'Biomedical', 'Engineering', 'Maintenance', 'Installation', 'MRI', 'Magnetic Resonance Imaging (MRI)']"
1265,Backend Engineer - NodeJS,Anspire Agency ,"Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'Computer Engineering', 'Software Engineering', 'NodeJS']"
1266,International Business Development Executive,Confidential ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['Sales/Retail', 'Business Development', 'Sales', 'Financial Analysis', 'Financial Management', 'Sales Target', 'Sales Skills', 'Communication', 'MS Office', 'Analytical Skills']"
1267,Quality Manager,Nature's Rule Egypt LLC  ,"Badr City, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"['Quality', 'Engineering - Other', 'Agriculture', 'Engineering', 'English', 'quality', 'Quality Assurance', 'Quality Management', 'Quality Control', 'Safety']"
1268,Real Estate Consultant,Trophy Gear ,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"['Sales/Retail', 'Real Estate', 'Sales', 'sales skills', 'Sales Target']"
1269,Mechanical Engineer,System Technique ,"Abu Rawash, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Engineering', 'Maintenance', 'Mechanical Engineering']"
1270,Senior Procurement Engineer - Light Current,BENYA ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Procurement', 'Purchasing', 'Supply Chain', 'English', 'SAP']"
1271,Marketing Manager,Sky Distribution ,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,9 - 15 Yrs of Exp,"['Marketing/PR/Advertising', 'Marketing', 'Marketing Campaigns', 'Google Analytics', 'Market Research', 'Creative']"
1272,Marketing Intern,Digital Essence  ,"Cairo, Egypt ",Internship,Entry Level,Marketing/PR/Advertising,"['Media/Journalism/Publishing', 'Content', 'Content Creation', 'Digital Marketing']"
1273,Pre Sales Engineer,Carnival Trading ,"Mansheya, Alexandria, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Sales', 'sales skills', 'Communication']"
1274,Assistant Finance Manager - Finance - Jumeirah Beach Hotel,DUBAI HOLDING ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Operations/Management', 'Administration', 'Microsoft Office', 'Finance', 'Accounting', 'Office Management', 'Financial Management', 'Financial Analysis']"
1275,Junior Accountant,WeSource ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Banking', 'Accounting', 'Finance', 'Financial Analysis', 'Microsoft Office', 'Commerce', 'Financial Management', 'Microsoft Excel']"
1276,Customer Success Specialist - German,Concentrix Corporation ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Logistics/Supply Chain', 'Sales/Retail', 'Customer Service', 'Customer Support', 'Customer Care', 'Call Center', 'Microsoft Office', 'Sales', 'Communication Skills']"
1277,Associate Customer Success specialist - French,Concentrix Corporation ,"Cairo, Egypt ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Customer Care', 'Customer Service', 'Customer Support', 'Client Relationships', 'Sales Skills', 'Sales', 'Account Management']"
1278,Finance Executive - J-Club – Jumeirah Beach Hotel,DUBAI HOLDING ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Banking', 'Accounting', 'Finance', 'Auditing', 'Financial Analysis', 'Commerce', 'Financial Management', 'Microsoft Excel']"
1279,Sales Manager – Events,Salt Search Ltd ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Marketing']"
1280,Senior Mechanical Engineer,ATKINS ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Mechanical Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Electrical Engineering', 'Software Development']"
1281,"ETIC, Financial Accounting - Senior Associate",PwC Middle East ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Banking', 'Analyst/Research', 'Accounting', 'Finance', 'Commerce', 'Financial Analysis', 'Financial Management', 'Microsoft Office', 'CPA']"
1282,"IT Audit - Associate / Senior Associate / Manager - Risk Assurance HUB - Cairo, EG",PwC Middle East ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Auditing', 'Computer Science', 'Finance', 'Accounting', 'Financial Analysis', 'Computer Engineering']"
1283,Marketing Manager,Salt Search Ltd ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Marketing/PR/Advertising,"['Sales/Retail', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Sales', 'Market Research', 'E-marketing', 'Media', 'Digital Marketing']"
1284,Senior Offshore Pipeline Designer,Technip Energies ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'software development', 'software engineering', 'engineering', 'design', 'software']"
1285,Compliance Associate - Fresh graduate,MRSOOL Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Sales/Retail', 'microsoft office', 'sales', 'sales skills', 'engineering', 'management', 'english', 'retail']"
1286,Senior Electrical Engineer,Technip Energies ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Electrical Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'AutoCAD', 'Mechanical Engineering']"
1287,Electrical Fit out/Construction Engineer-Operations--,Leejam Sports ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'engineering', 'electrical engineering', 'mechanical engineering', 'construction', 'maintenance', 'management', 'quality']"
1288,"Receptionist, Elite Banking (UAE nationals only)",First Abu Dhabi Bank ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Banking', 'administration', 'office management', 'microsoft office', 'secretary', 'banking', 'receptionist', 'economics']"
1289,Senior Document Controller,Al Nahiya Group ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Administration,"['IT/Software Development', 'Quality', 'Administration', 'Quality Control', 'Microsoft Office', 'Computer Science', 'Quality Assurance', 'Information Technology (IT)', 'Document Control']"
1290,Mechanical Engineer,"IAP Worldwide Services, Inc ","Doha, Qatar ",Full Time,Not specified,Installation/Maintenance/Repair,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Mechanical Engineering', 'Engineering', 'Electrical Engineering', 'Maintenance', 'Sales', 'Sales Skills', 'Microsoft Office']"
1291,Electrical Engineer **OCONUS **QATAR,"IAP Worldwide Services, Inc ","Doha, Qatar ",Full Time,Not specified,Business Development,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'sales', 'sales skills', 'electrical engineering', 'engineering']"
1292,"Manager, Training (Marine and Waterpark)",Kerzner International Management ,"Dubai, United Arab Emirates ",Full Time,Not specified,Human Resources,"['Operations/Management', 'Training/Instructor', 'Training', 'Human Resources (HR)', 'Management', 'Recruitment', 'Performance Management', 'Microsoft Office', 'Administration']"
1293,736.Training & Competency Expert,Saudi Arabia Railways ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'sales', 'training']"
1294,Civil Structural Engineer,"IAP Worldwide Services, Inc ","Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Creative/Design/Art', 'Project/Program Management', 'Civil Engineering', 'Engineering', 'Construction', 'AutoCAD', 'Architecture', 'Design', 'Civil']"
