,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
22,Senior Facilities Management Engineer,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering', 'Mechanical Engineering', 'Electrical Engineering', 'Maintenance', 'Facility Management', 'Civil Engineering', 'Information Technology (IT)']"
23,Administration Assistant - Saudi National,Mace Group ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'Administration', 'Office Management', 'Secretary', 'Microsoft Office', 'Admin Assistant', 'Admin', 'Communication Skills']"
24,Accountant internship,Enjaz Consultancy & Enterprise Management ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Human Resources', 'Marketing/PR/Advertising', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Microsoft Excel', 'Microsoft Office', 'Accountant']"
25,Jr. Parts Admin,Lucid Motors ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['IT/Software Development', 'Engineering - Telecom/Technology', 'administration', 'admin', 'microsoft office', 'office management', 'sales', 'communication skills', 'operations']"
26,Dental Assistant,Mediclinic International ,"Al Ain, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Medical/Healthcare', 'Administration', 'Admin', 'Medical', 'Dental', 'Secretary', 'Nursing', 'Office Management']"
27,Junior Account Executive,Cheil ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Sales Skills', 'Customer Service', 'Customer Care', 'Customer Support', 'Sales Target', 'Marketing']"
28,Executive Lounge Waiter/Waitress,Kempinski Hotels ,"Dubai, United Arab Emirates ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['duties', 'responsibilitiesreporting', 'executive', 'lounge', 'hotel']"
29,Group Finance Intern,Bayut | dubizzle ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Quality', 'Analyst/Research', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Microsoft Office', 'Commerce', 'Business Administration']"
30,Data Management Specialist,D4DS ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Data Entry', 'Administration', 'Microsoft Office', 'Admin', 'Information Technology (IT)', 'Computer Science', 'Customer Service']"
31,Processes and Policies with Finance experience,Case In Point ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,"['Human Resources', 'Operations/Management', 'finance', 'accounting', 'microsoft office', 'financial analysis', 'financial management', 'management', 'erp']"
32,"Pr Advisor II, Bus Performance Imp Job",Tasnee ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Marketing/PR/Advertising', 'Sales/Retail', 'strategic', 'management', 'business', 'sbus', 'consultant']"
33,Process Safety Engineer,Eram Talent ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Quality,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'Engineering', 'Mechanical Engineering', 'Quality', 'Production', 'Safety', 'Quality Assurance', 'Quality Control']"
34,Property Operations Manager (Airbnb),On,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'Operations', 'Management', 'Microsoft Office', 'Sales', 'Customer Service', 'Planning', 'Customer Care']"
35,Procurement Officer,Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Procurement', 'Purchasing', 'Logistics', 'Supply Chain', 'Business Administration', 'Microsoft Office', 'English']"
36,Senior Accountant,RATPDev Mobility Cairo ,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Banking', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Microsoft Office', 'Commerce', 'ERP']"
37,Resource Analyst 3-Ops,Oracle ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Analyst/Research', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'business analysis', 'analysis', 'business', 'oracle', 'reporting']"
38,Account Manager - Property,On,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Support', 'Customer Care', 'Account Management']"
39,Banquet Houseman,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'hospitality', 'hotel', 'banquet', 'guests', 'cairo']"
40,Parts Graduate Program,Mansour Automotive ,"Cairo, Egypt ",Full Time,Not specified,Administration,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Information Technology (IT)', 'Adobe Photoshop', 'Business Administration', 'Computer Science', 'Electrical Engineering', 'Microsoft Office']"
41,Principal Electrical Engineer,Worley Parsons ,"Doha, Qatar ",Full Time,Not specified,Installation/Maintenance/Repair,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Electrical Engineering', 'Engineering', 'AutoCAD', 'Maintenance', 'Electrical', 'Mechanical Engineering', 'Microsoft Office']"
42,ER Coordination Specialist III,King Abdullah bin Abdelaziz University ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Operations/Management,"['Medical/Healthcare', 'Analyst/Research', 'medical', 'healthcare', 'hospital management', 'medicine', 'er']"
43,NDC Onboarding & Implementation Officer,Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Human Resources', 'Engineering - Telecom/Technology', 'human resources (hr)', 'recruitment', 'microsoft office', 'personnel', 'training', 'development', 'business']"
44,Sales Executive - Hotel Sales & Marketing,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Microsoft Office']"
45,Clinical Audit and Compliance Specialist,Fursaty Careers/Learn to B HR Consultancy ,"Dubai, United Arab Emirates ",Full Time,Not specified,6+ Yrs of Exp,"['Medical/Healthcare', 'Quality', 'Pharmaceutical', 'quality assurance', 'quality', 'quality control', 'qa', 'medical', 'healthcare', 'english']"
46,Marketing Retention Manager - Marketplace,On,"Cairo, Egypt ",Full Time,Not specified,Marketing/PR/Advertising,"['Sales/Retail', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Market Research', 'E-marketing', 'Digital Marketing', 'Media', 'Advertising']"
47,"Operator I, II or III / Crude",Yanbu Aramco Sinopec Refining Company (YASREF) ,"Yanbu, Saudi Arabia ",Full Time,Entry Level,IT/Software Development,"['Engineering - Telecom/Technology', 'Education/Teaching', 'engineering', 'education', 'computer science', 'teaching', 'quality', 'manufacturing', 'management']"
48,Executive Assistant,HAKA Resources ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'Administration', 'Office Management', 'Secretary', 'Microsoft Office', 'Admin', 'Admin Assistant', 'English']"
49,Maintenance Director (Industrial / Manufacturing),CATS Applicant Tracking System ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Installation/Maintenance/Repair', 'IT/Software Development', 'engineering', 'microsoft office', 'administration', 'information technology (it)', 'maintenance', 'production', 'manufacturing']"
50,Senior Project Engineer,Schneider Electric ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Project Management', 'Mechanical Engineering']"
51,Director of Spa,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Operations/Management,"['Marketing/PR/Advertising', 'Sales/Retail', 'management', 'marketing', 'media', 'operations', 'wellness', 'director']"
52,Accounts Receivable Accountant (with Healthcare industry experience),Fursaty Careers/Learn to B HR Consultancy ,"Sharjah, United Arab Emirates ",Full Time,Not specified,2+ Yrs of Exp,"['Accounting/Finance', 'Banking', 'Operations/Management', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Commerce', 'Accounts Receivable', 'Microsoft Office']"
53,"Executive Manager Supply Chain, KSA",NOMAC ,"Riyadh, Saudi Arabia ",Full Time,Manager,8+ Yrs of Exp,"['Logistics/Supply Chain', 'Operations/Management', 'Purchasing/Procurement', 'Supply Chain', 'Logistics', 'Purchasing', 'Management', 'Procurement', 'Supply Chain Management', 'Warehousing']"
54,Assistant Risk Officer (with Healthcare industry experience),Fursaty Careers/Learn to B HR Consultancy ,"Dubai, United Arab Emirates ",Full Time,Not specified,0 - 5 Yrs of Exp,"['Accounting/Finance', 'Administration', 'Banking', 'Financial Analysis', 'Risk Management', 'Finance', 'Accounting', 'Banking', 'Administration', 'Microsoft Office']"
55,Assistant Manager - Brand Communication & Advertising Lexus,Abdullah Abdulghani & Bros.Co. (AAB) ,"Doha, Qatar ",Full Time,Manager,5+ Yrs of Exp,"['Administration', 'Customer Service/Support', 'Operations/Management', 'Administration', 'Office Management', 'Microsoft Office', 'Secretary', 'Admin Assistant', 'Admin', 'Customer Service']"
56,Business Analyst (With Healthcare industry experience),Fursaty Careers/Learn to B HR Consultancy ,"Dubai, United Arab Emirates ",Full Time,Not specified,6+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Business Analysis', 'Information Technology (IT)', 'Computer Science', 'Analysis', 'Software Development', 'Software', 'Computer Engineering']"
